reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
32,79,2021-07-14,268,41,116.0,107.0,4.0,7712,2144
76,29,2021-01-14,6,1,,,,334,1
93,29,2021-06-09,20,4,9.0,5.0,2.0,1324,6
32,29,2020-12-10,15,0,,,,504,2
52,0,2021-06-29,187,26,79.0,81.0,1.0,13251,2728
75,0,2021-06-12,596,94,288.0,209.0,5.0,16876,3824
28,19,2021-05-30,5,0,5.0,0.0,0.0,82,0
75,9,2021-03-27,3,0,3.0,0.0,0.0,79,0
24,69,2021-05-10,183,70,72.0,41.0,0.0,1951,232
11,90,2021-07-11,147,1,36.0,110.0,0.0,7873,4038
53,49,2021-06-04,23,4,12.0,3.0,4.0,616,9
76,0,2021-06-29,491,58,162.0,262.0,9.0,21598,4591
4,19,2021-01-27,1,0,,,,27,1
93,59,2021-03-08,323,91,,,,3602,142
27,90,2021-03-17,141,2,75.0,64.0,0.0,1866,973
3,29,2021-06-27,4,0,4.0,0.0,0.0,535,3
2,49,2021-04-17,11,3,8.0,0.0,0.0,79,5
27,79,2021-05-22,202,37,99.0,66.0,0.0,4201,1026
53,59,2021-03-06,53,10,,,,565,25
52,0,2021-07-01,167,25,65.0,76.0,1.0,13278,2729
6,59,2021-02-22,22,10,,,,143,10
32,29,2021-01-27,19,2,,,,601,2
24,9,2021-06-02,0,0,0.0,0.0,0.0,85,0
53,90,2021-07-07,34,0,11.0,21.0,2.0,786,432
53,19,2021-04-27,2,0,2.0,0.0,0.0,68,0
32,9,2021-05-08,0,0,0.0,0.0,0.0,283,0
27,29,2020-03-25,4,0,,,,29,0
93,39,2021-02-15,36,4,,,,1341,7
32,39,2021-07-30,23,5,12.0,5.0,1.0,1825,27
84,49,2021-07-15,25,2,12.0,8.0,3.0,3610,79
84,29,2021-07-24,10,2,8.0,0.0,0.0,1496,11
11,29,2021-04-17,150,21,109.0,6.0,14.0,2991,30
93,9,2021-02-13,4,0,,,,192,0
44,59,2021-03-27,255,72,162.0,21.0,0.0,3675,256
4,89,2021-05-15,23,0,14.0,9.0,0.0,129,45
24,90,2021-05-17,90,0,45.0,45.0,0.0,1225,699
1,39,2021-04-21,3,1,2.0,0.0,0.0,74,2
27,0,2021-01-25,1825,172,,,,11692,3221
32,49,2021-06-20,64,16,32.0,16.0,0.0,2997,71
1,59,2021-01-22,5,0,,,,141,10
2,59,2021-03-05,1,1,,,,89,3
76,59,2021-03-17,113,39,54.0,19.0,1.0,1886,62
11,90,2021-07-23,145,0,43.0,102.0,0.0,7909,4046
75,79,2020-03-27,96,30,,,,23,6
